"x"	"y"	"altitude"	"altitude_type"	"id"
"94"	266812.86	4046597.88	667.664978027344	"lower"	"4S0188"
"95"	266810.25	4046595.42	669.794982910156	"upper"	"4S0187"
"96"	266807.87	4046595.21	669.794982910156	"upper"	"4S0186"
"97"	266806.63	4046588.24	672.182006835938	"upper"	"4S0184"
"98"	266812.48	4046592.81	669.794982910156	"upper"	"4S0189"
"99"	266782.42	4046566.66	678.64501953125	"upper"	"4S0182"
"100"	266807.31	4046587.89	672.182006835938	"upper"	"4S0185"
"101"	266774.07	4046563.67	679.697998046875	"upper"	"4S0183"
"102"	266761.64	4046560.67	684.234985351562	"upper"	"4S0181"
"103"	266760.62	4046552.61	684.965026855469	"upper"	"4S0180"
"104"	266758.33	4046551.02	685.820007324219	"upper"	"4S0178"
"105"	266757.94	4046550.09	685.820007324219	"upper"	"4S0179"
"106"	266756.85	4046567.55	684.289978027344	"upper"	"4S0879"
"107"	266748.99	4046568.34	685.630004882812	"upper"	"4S0880"
"108"	266741.22	4046566.76	690.474975585938	"upper"	"4S0176"
"109"	266740.89	4046559.94	691.263000488281	"upper"	"4S0175"
"110"	266725.74	4046528.29	698.25	"upper"	"4S0169"
"111"	266720.91	4046518.76	699.7919921875	"upper"	"4S0168"
"112"	266720.78	4046518.89	699.7919921875	"upper"	"4S0167"
"113"	266741.71	4046504.96	696.840026855469	"upper"	"4S0170"
"114"	266713.26	4046514.8	700.468017578125	"upper"	"4S0166"
"115"	266713.96	4046510.48	701.114990234375	"upper"	"4S0165"
"116"	266709.46	4046511.8	700.630004882812	"upper"	"4S0164"
"117"	266710.11	4046509.36	700.630004882812	"upper"	"4S0878"
"118"	266711.94	4046504.52	701.280029296875	"upper"	"4S0163"
"119"	266716.75	4046495.76	701.502990722656	"upper"	"4S0162"
"120"	266708.43	4046489.66	701.784973144531	"upper"	"4S0160"
"121"	266705.89	4046490.27	701.632995605469	"upper"	"4S0159"
"122"	266703.14	4046491.43	701.632995605469	"upper"	"4S0161"
"123"	266702.71	4046489.66	701.632995605469	"upper"	"4S0877"
"124"	266747.15	4046483.41	697.825012207031	"upper"	"4S0171"
"125"	266733.68	4046476.97	700.440002441406	"upper"	"4S0172"
"126"	266725.66	4046476.52	700.963012695312	"upper"	"4S0173"
"127"	266720.6	4046478.65	701.275024414062	"upper"	"4S0174"
"128"	266722.09	4046455.31	705.219970703125	"upper"	"4S0158"
"129"	268108.53	4045144.81	577.609985351562	"lower"	"S0038"
"130"	268102.75	4045119.98	579.578002929688	"lower"	"S0039"
"131"	268111.23	4045062.26	592	"lower"	"S0040"
"132"	268075.03	4044998.71	598.591979980469	"lower"	"S0041"
"133"	268041.81	4044946.04	600.893005371094	"lower"	"S0042"
"134"	268026.74	4044906.07	600.653015136719	"lower"	"S0043"
"135"	268002.59	4044901.43	595.481994628906	"lower"	"S0044"
"136"	267997.28	4044902.16	593.640014648438	"lower"	"S0842"
"137"	267942.05	4044863.47	616.414978027344	"lower"	"S0843"
"138"	267913.85	4044854.07	628.242004394531	"lower"	"S0045"
"139"	267910.77	4044843.02	631.599975585938	"lower"	"S0046"
"140"	267904	4044851.78	634.601989746094	"lower"	"S0844"
"141"	267897.99	4044851.59	637.924987792969	"lower"	"S0846"
"142"	267897.2	4044864.86	639.643005371094	"lower"	"S0848"
"143"	267894.29	4044862.45	640.356994628906	"lower"	"S0847"
"144"	267904.79	4044780.75	637.031982421875	"lower"	"S0047"
"145"	267859.82	4044707.26	634.908020019531	"lower"	"S0048"
"146"	267728.96	4044593.75	665.929992675781	"lower"	"S0049"
"147"	267707.2	4044586.15	671.257995605469	"lower"	"S0050"
"148"	267710.7	4044580.57	667.614990234375	"lower"	"S0051"
"149"	267596.29	4044540.71	701.757995605469	"lower"	"S0052"
"150"	267571.8	4044527.6	718.5830078125	"lower"	"S0849"
"151"	267562.34	4044522.29	731.218017578125	"lower"	"S0054"
"152"	267549.47	4044517.44	732.507995605469	"lower"	"S0056"
"153"	267552.06	4044512.47	729.742004394531	"lower"	"S0055"
"154"	267566.52	4044496.54	717.963012695312	"lower"	"S0053"
"155"	267521.75	4044519.92	734.775024414062	"lower"	"S0060"
"156"	267521.7	4044520.08	734.775024414062	"lower"	"S0059"
"157"	267519.67	4044523.72	736.692993164062	"lower"	"S0058"
"158"	267520.22	4044525.43	736.692993164062	"lower"	"S0057"
"159"	267507.21	4044523.98	739.39501953125	"lower"	"S0062"
"160"	267521.51	4044544.46	748.77001953125	"lower"	"S0061"
"161"	267497.62	4044536.67	744.992004394531	"lower"	"S0063"
"162"	267484.33	4044523.1	744.344970703125	"lower"	"S0064"
"163"	267454.81	4044537.7	761.289978027344	"lower"	"S0066"
"164"	267454.57	4044538.16	761.289978027344	"lower"	"S0065"
"165"	267452.09	4044543.75	766.565002441406	"lower"	"S0857"
"166"	267444.23	4044544	768.619995117188	"lower"	"S0858"
"167"	267444.87	4044545.1	768.619995117188	"lower"	"S0856"
"168"	267416.43	4044546.36	774.349975585938	"lower"	"S0067"
"169"	267404.01	4044548.8	774.387023925781	"lower"	"S0859"
"170"	267399.6	4044549.7	774.257995605469	"lower"	"S0068"
"171"	267394.22	4044550.35	774.080017089844	"lower"	"S0069"
"172"	267392.93	4044552.08	774.080017089844	"lower"	"S0070"
"173"	267369.83	4044559.3	778.049987792969	"upper"	"S0860"
"174"	267364.66	4044548.84	775.674987792969	"upper"	"S0071"
"175"	267357.03	4044517.96	766.549987792969	"lower"	"S0072"
"176"	267351.55	4044518.41	766.534973144531	"lower"	"S0073"
"177"	267307.43	4044516	768.632995605469	"lower"	"S0074"
"178"	267291.17	4044507.95	770.940002441406	"lower"	"S0075"
"179"	267291.42	4044499.94	769.349975585938	"lower"	"S0077"
"180"	267283.52	4044505.82	770.765014648438	"lower"	"S000A"
"181"	267282.62	4044505.23	770.765014648438	"lower"	"S000B"
"182"	267277.77	4044503.73	770.974975585938	"lower"	"S0079"
"183"	267276.07	4044490.63	768.377990722656	"lower"	"S0076"
"184"	267268.81	4044510.27	772.304992675781	"lower"	"S0078"
"185"	267257.08	4044490.48	770.572998046875	"lower"	"S0865"
"186"	267245.57	4044501.48	773.679992675781	"lower"	"S0081"
"187"	267244.66	4044501.74	773.679992675781	"lower"	"S0082"
"188"	267244.35	4044498.75	773.679992675781	"lower"	"S0083"
"189"	267236.66	4044501.86	777.067993164062	"upper"	"S0084"
"190"	267220.56	4044491.76	784.773010253906	"upper"	"S0864"
"191"	267209.63	4044473	784.078002929688	"upper"	"S0085"
"192"	267520.7	4044579.67	744.47998046875	"lower"	"S0148"
"193"	267455.28	4044592.01	779.546997070312	"upper"	"S0147"
"194"	267447	4044602.5	786.409973144531	"upper"	"S0146"
"195"	267441.8	4044606.55	787.588012695312	"upper"	"S0145"
"196"	267441.57	4044616.43	787.552001953125	"upper"	"S0144"
"197"	267424.98	4044642.41	790.122009277344	"upper"	"S0143"
"198"	267409.69	4044654.81	798.440002441406	"upper"	"S0149"
"199"	267387.09	4044682.03	807.044982910156	"upper"	"S0141"
"200"	267385.1	4044686.65	808.114990234375	"upper"	"S0142"
"201"	267364.23	4044696.55	810.484985351562	"upper"	"S0140"
"202"	267357.74	4044707.31	811.242004394531	"upper"	"S0139"
"203"	267315.67	4044736.89	805.914978027344	"upper"	"S0137"
"204"	267314.76	4044736.92	805.914978027344	"upper"	"S0136"
