mother	father	SpDist
JV0855	JV0786	259.6160629
JV0624	JV0853	24.1182296
JV0624	JV0854	22.4515122
JV0624	JV0852	22.5064791
JV0624	JV0851	12.9181926
JV0624	JV0855	10.4524160
JV0624	JV0624	0.0000000
JV0624	JV0622	17.1282340
JV0624	JV0619	20.9601574
JV0624	JV0620	26.4118780
JV0624	JV0621	27.2164950
JV0624	JV0618	44.4955874
JV0624	JV0617	48.6705917
JV0624	JV0616	51.5706283
JV0624	JV0615	53.6321172
JV0624	JV0614	58.2230444
JV0624	JV0613	144.6546830
JV0624	JV0612	146.7221473
JV0624	JV0611	150.2508186
JV0624	JV0610	160.5651376
JV0624	JV0609	161.4890244
JV0624	JV0608	165.9277774
JV0624	JV0607	168.1693301
JV0624	JV0604	172.3301047
JV0624	JV0606	172.7734887
JV0624	JV0605	173.7403638
JV0624	JV0603	176.4665464
JV0624	JV0602	184.1260009
JV0624	JV0601	188.2149500
JV0624	JV0800	190.7700021
JV0624	JV0799	196.6215375
JV0624	JV0798	197.2323820
JV0624	JV0797	202.2869756
JV0624	JV0796	203.6271465
JV0624	JV0793	208.1245262
JV0624	JV0792	208.7404122
JV0624	JV0791	221.2476859
JV0624	JV0788	227.2160192
JV0624	JV0789	227.6395629
JV0624	JV0787	233.0193814
JV0624	JV0786	251.3389403
JV0622	JV0853	36.5344030
JV0622	JV0854	35.9731956
JV0622	JV0852	36.3735343
JV0622	JV0851	27.5084442
JV0622	JV0855	26.1165886
JV0622	JV0624	17.1282340
JV0622	JV0622	0.0000000
JV0622	JV0619	3.8977173
JV0622	JV0620	9.2843147
JV0622	JV0621	10.1169363
JV0622	JV0618	27.5334142
JV0622	JV0617	31.8887080
JV0622	JV0616	35.0047782
JV0622	JV0615	36.9030785
JV0622	JV0614	41.4724885
JV0622	JV0613	127.8053555
JV0622	JV0612	129.9304402
JV0622	JV0611	133.5385761
JV0622	JV0610	143.6187822
JV0622	JV0609	144.5365705
JV0622	JV0608	149.0223691
JV0622	JV0607	151.2214403
JV0622	JV0604	155.4340741
JV0622	JV0606	155.8288151
JV0622	JV0605	156.8040025
JV0622	JV0603	159.5994837
JV0622	JV0602	167.2313158
JV0622	JV0601	171.3295147
JV0622	JV0800	173.8614635
JV0622	JV0799	179.6948664
JV0622	JV0798	180.3046336
JV0622	JV0797	185.3165673
JV0622	JV0796	186.7144836
JV0622	JV0793	191.2340440
JV0622	JV0792	191.8702418
JV0622	JV0791	204.2310047
JV0622	JV0788	210.1741816
JV0622	JV0789	210.5933793
JV0622	JV0787	215.9535971
JV0622	JV0786	234.2110290
JV0619	JV0853	39.3896687
JV0619	JV0854	39.0339980
JV0619	JV0852	39.4902849
JV0619	JV0851	30.8804679
JV0619	JV0855	29.6646996
JV0619	JV0624	20.9601574
JV0619	JV0622	3.8977173
JV0619	JV0619	0.0000000
JV0619	JV0620	5.5443034
JV0619	JV0621	6.2565965
JV0619	JV0618	23.9593760
JV0619	JV0617	28.4359157
JV0619	JV0616	31.6749633
JV0619	JV0615	33.4654120
JV0619	JV0614	38.0074006
JV0619	JV0613	124.2186045
JV0619	JV0612	126.3732349
JV0619	JV0611	130.0197235
JV0619	JV0610	139.9749192
JV0619	JV0609	140.8889449
JV0619	JV0608	145.4014075
JV0619	JV0607	147.5757467
JV0619	JV0604	151.8174865
JV0619	JV0606	152.1845097
JV0619	JV0605	153.1644534
JV0619	JV0603	155.9980442
JV0619	JV0602	163.6140837
JV0619	JV0601	167.7168626
JV0619	JV0800	170.2359283
JV0619	JV0799	176.0586448
JV0619	JV0798	176.6677495
JV0619	JV0797	181.6543093
JV0619	JV0796	183.0855106
JV0619	JV0793	187.6167930
JV0619	JV0792	188.2637312
JV0619	JV0791	200.5382141
JV0619	JV0788	206.4635755
JV0619	JV0789	206.8795640
JV0619	JV0787	212.2244145
JV0619	JV0786	230.4004785
JV0620	JV0853	44.6506181
JV0620	JV0854	44.4094235
JV0620	JV0852	44.8926419
JV0620	JV0851	36.3903861
JV0620	JV0855	35.2073132
JV0620	JV0624	26.4118780
JV0620	JV0622	9.2843147
JV0620	JV0619	5.5443034
JV0620	JV0620	0.0000000
JV0620	JV0621	1.3514807
JV0620	JV0618	18.4326938
JV0620	JV0617	22.9603920
JV0620	JV0616	26.2723276
JV0620	JV0615	27.9914648
JV0620	JV0614	32.5151565
JV0620	JV0613	118.6781538
JV0620	JV0612	120.8378757
JV0620	JV0611	124.4935508
JV0620	JV0610	134.4306621
JV0620	JV0609	135.3447749
JV0620	JV0608	139.8575347
JV0620	JV0607	142.0315335
JV0620	JV0604	146.2738367
JV0620	JV0606	146.6402704
JV0620	JV0605	147.6201548
JV0620	JV0603	150.4555885
JV0620	JV0602	158.0703657
JV0620	JV0601	162.1734223
JV0620	JV0800	164.6918219
JV0620	JV0799	170.5143422
JV0620	JV0798	171.1234461
JV0620	JV0797	176.1110161
JV0620	JV0796	177.5412958
JV0620	JV0793	182.0730263
JV0620	JV0792	182.7206989
JV0620	JV0791	194.9991836
JV0620	JV0788	200.9287956
JV0620	JV0789	201.3457040
JV0620	JV0787	206.6956961
JV0620	JV0786	224.9270691
JV0621	JV0853	44.8773105
JV0621	JV0854	44.7275307
JV0621	JV0852	45.2356408
JV0621	JV0851	36.8780436
JV0621	JV0855	35.7940246
JV0621	JV0624	27.2164950
JV0621	JV0622	10.1169363
JV0621	JV0619	6.2565965
JV0621	JV0620	1.3514807
JV0621	JV0621	0.0000000
JV0621	JV0618	17.9964802
JV0621	JV0617	22.6256867
JV0621	JV0616	26.0303688
JV0621	JV0615	27.6484936
JV0621	JV0614	32.1336661
JV0621	JV0613	118.1380265
JV0621	JV0612	120.3225120
JV0621	JV0611	124.0089146
JV0621	JV0610	133.8377622
JV0621	JV0609	134.7482994
JV0621	JV0608	139.2850405
JV0621	JV0607	141.4363362
JV0621	JV0604	145.7047103
JV0621	JV0606	146.0460256
JV0621	JV0605	147.0302187
JV0621	JV0603	149.8994236
JV0621	JV0602	157.4997987
JV0621	JV0601	161.6066168
JV0621	JV0800	164.1134489
JV0621	JV0799	169.9260245
JV0621	JV0798	170.5344953
JV0621	JV0797	175.4983775
JV0621	JV0796	176.9591331
JV0621	JV0793	181.5010237
JV0621	JV0792	182.1580317
JV0621	JV0791	194.3563657
JV0621	JV0788	200.2678571
JV0621	JV0789	200.6814516
JV0621	JV0787	206.0151861
JV0621	JV0786	224.1483217
JV0618	JV0853	62.7962172
JV0618	JV0854	62.7132243
JV0618	JV0852	63.2289372
JV0618	JV0851	54.8222473
JV0618	JV0855	53.6118056
JV0618	JV0624	44.4955874
JV0618	JV0622	27.5334142
JV0618	JV0619	23.9593760
JV0618	JV0620	18.4326938
JV0618	JV0621	17.9964802
JV0618	JV0618	0.0000000
JV0618	JV0617	4.8510824
JV0618	JV0616	8.5763512
JV0618	JV0615	9.7452809
JV0618	JV0614	14.1523850
JV0618	JV0613	100.2758695
JV0618	JV0612	102.4169146
JV0618	JV0611	106.0615972
JV0618	JV0610	116.0944809
JV0618	JV0609	117.0144713
JV0618	JV0608	121.4897699
JV0618	JV0607	123.6978791
JV0618	JV0604	127.9008964
JV0618	JV0606	128.3042965
JV0618	JV0605	129.2770378
JV0618	JV0603	132.0667805
JV0618	JV0602	139.6981478
JV0618	JV0601	143.7961074
JV0618	JV0800	146.3294940
JV0618	JV0799	152.1660005
JV0618	JV0798	152.7760151
JV0618	JV0797	157.8034556
JV0618	JV0796	159.1832042
JV0618	JV0793	163.7008079
JV0618	JV0792	164.3370780
JV0618	JV0791	176.7521004
JV0618	JV0788	182.7249641
JV0618	JV0789	183.1504117
JV0618	JV0787	188.5441407
JV0618	JV0786	207.1324914
JV0617	JV0853	67.4921188
JV0617	JV0854	67.3460504
JV0617	JV0852	67.8427395
JV0617	JV0851	59.3132582
JV0617	JV0855	58.0052144
