"","offspring","mother","father","SpDist","pop"
"456","Z0598F11","Z0598","Z0316",44.87116,"ZAP"
"457","Z0598F12","Z0598","Z0561",199.5125269,"ZAP"
"458","Z0598F13","Z0598","Z0596",7.4948849,"ZAP"
"459","Z0598F15","Z0598","Z0596",7.4948849,"ZAP"
"460","Z0762F01","Z0762","Z0761",1.8920095,"ZAP"
"461","Z0762F02","Z0762","Z0761",1.8920095,"ZAP"
"462","Z0762F03","Z0762","Z0327",880.0116204,"ZAP"
"463","Z0762F04","Z0762","Z0761",1.8920095,"ZAP"
"464","Z0762F07","Z0762","Z0761",1.8920095,"ZAP"
"465","Z0762F08","Z0762","Z0564",1077.6001541,"ZAP"
"466","Z0762F09","Z0762","Z0761",1.8920095,"ZAP"
"467","Z0762F11","Z0762","Z0708",193.4241839,"ZAP"
"468","Z0762F12","Z0762","Z0761",1.8920095,"ZAP"
"469","Z0762F13","Z0762","Z0761",1.8920095,"ZAP"
"470","Z0762F14","Z0762","Z0764",5.1345496,"ZAP"
"471","Z0762F15","Z0762","Z0761",1.8920095,"ZAP"
"472","Z0762F16","Z0762","Z0781",28.6763753,"ZAP"
"473","Z0762F17","Z0762","Z0761",1.8920095,"ZAP"
"474","Z0762F19","Z0762","Z0327",880.0116204,"ZAP"
"475","Z0762F20","Z0762","Z0761",1.8920095,"ZAP"
"476","Z0762F22","Z0762","Z0739",85.2828236,"ZAP"
"477","Z0762F23","Z0762","Z0761",1.8920095,"ZAP"
"478","Z0762F24","Z0762","Z0761",1.8920095,"ZAP"
"479","Z0762F25","Z0762","Z0761",1.8920095,"ZAP"
"480","Z0762F26","Z0762","Z0557",1326.7098681,"ZAP"
"481","Z0762F27","Z0762","Z0761",1.8920095,"ZAP"
"482","Z0762F29","Z0762","Z0761",1.8920095,"ZAP"
"483","Z0765F01","Z0765","Z0761",7.8070801,"ZAP"
"484","Z0765F02","Z0765","Z0764",3.4294023,"ZAP"
"485","Z0765F03","Z0765","Z0761",7.8070801,"ZAP"
"486","Z0765F04","Z0765","Z0764",3.4294023,"ZAP"
"487","Z0765F05","Z0765","Z0764",3.4294023,"ZAP"
"488","Z0765F06","Z0765","Z0341",837.8564193,"ZAP"
"489","Z0765F07","Z0765","Z0761",7.8070801,"ZAP"
"490","Z0765F08","Z0765","Z0764",3.4294023,"ZAP"
"491","Z0765F09","Z0765","Z0761",7.8070801,"ZAP"
"492","Z0765F10","Z0765","Z0764",3.4294023,"ZAP"
"493","Z0765F12","Z0765","Z0761",7.8070801,"ZAP"
"494","Z0765F13","Z0765","Z0764",3.4294023,"ZAP"
"495","Z0765F14","Z0765","Z0764",3.4294023,"ZAP"
"496","Z0765F16","Z0765","Z0764",3.4294023,"ZAP"
"497","Z0765F17","Z0765","Z0761",7.8070801,"ZAP"
"498","Z0765F18","Z0765","Z0764",3.4294023,"ZAP"
"499","Z0765F19","Z0765","Z0761",7.8070801,"ZAP"
"500","Z0765F20","Z0765","Z0764",3.4294023,"ZAP"
"501","Z0765F21","Z0765","Z0764",3.4294023,"ZAP"
"502","Z0765F22","Z0765","Z0764",3.4294023,"ZAP"
"503","Z0765F23","Z0765","Z0764",3.4294023,"ZAP"
"504","Z0765F24","Z0765","Z0761",7.8070801,"ZAP"
"505","Z0765F25","Z0765","Z0727",109.9036542,"ZAP"
"506","Z0765F26","Z0765","Z0764",3.4294023,"ZAP"
"507","Z0765F27","Z0765","Z0761",7.8070801,"ZAP"
"508","Z0765F28","Z0765","Z0761",7.8070801,"ZAP"
"509","Z0765F30","Z0765","Z0365",779.1550465,"ZAP"
"510","Z0776F02","Z0776","Z0765",17.978209,"ZAP"
"511","Z0776F03","Z0776","Z0765",17.978209,"ZAP"
"512","Z0776F05","Z0776","Z0774",5.1723206,"ZAP"
"513","Z0776F06","Z0776","Z0774",5.1723206,"ZAP"
"514","Z0776F08","Z0776","Z0775",7.0730616,"ZAP"
"515","Z0776F10","Z0776","Z0765",17.978209,"ZAP"
"516","Z0776F12","Z0776","Z0739",107.8582867,"ZAP"
"517","Z0776F13","Z0776","Z0779",7.9891051,"ZAP"
"518","Z0776F14","Z0776","Z0767",16.1254736,"ZAP"
"519","Z0776F15","Z0776","Z0748",95.0770435,"ZAP"
