"","offspring","mother","father","SpDist","pop"
"105","JV0787F22","JV0787","JV0605",60.4975082,"JV"
"106","JV0787F24","JV0787","JV0786",26.0073913,"JV"
"107","JV0787F25","JV0787","JV0605",60.4975082,"JV"
"108","JV0787F29","JV0787","JV0786",26.0073913,"JV"
"109","JV0853F01","JV0853","JV0852",3.9655769,"JV"
"110","JV0853F02","JV0853","JV0852",3.9655769,"JV"
"111","JV0853F03","JV0853","JV0852",3.9655769,"JV"
"112","JV0853F06","JV0853","JV0612",164.5295636,"JV"
"113","JV0853F07","JV0853","JV0624",24.1182296,"JV"
"114","JV0853F10","JV0853","JV0852",3.9655769,"JV"
"115","JV0853F11","JV0853","JV0852",3.9655769,"JV"
"116","JV0853F12","JV0853","JV0852",3.9655769,"JV"
"117","JV0853F14","JV0853","JV0852",3.9655769,"JV"
"118","JV0853F15","JV0853","JV0798",214.1778618,"JV"
"119","JV0853F16","JV0853","JV0852",3.9655769,"JV"
"120","JV0853F17","JV0853","JV0852",3.9655769,"JV"
"121","JV0853F18","JV0853","JV0852",3.9655769,"JV"
"122","JV0853F19","JV0853","JV0852",3.9655769,"JV"
"123","JV0853F20","JV0853","JV0852",3.9655769,"JV"
"124","JV0853F21","JV0853","JV0852",3.9655769,"JV"
"125","JV0853F23","JV0853","JV0852",3.9655769,"JV"
"126","JV0853F24","JV0853","JV0852",3.9655769,"JV"
"127","JV0853F25","JV0853","JV0852",3.9655769,"JV"
"128","JV0853F28","JV0853","JV0624",24.1182296,"JV"
"129","JV0853F29","JV0853","JV0852",3.9655769,"JV"
"130","JV0853F30","JV0853","JV0852",3.9655769,"JV"
"131","4S0164F01","4S0164","4S0167",13.3570393,"SAUC"
"132","4S0164F02","4S0164","4S0163",7.6908257,"SAUC"
"133","4S0164F04","4S0164","4S0163",7.6908257,"SAUC"
"134","4S0164F05","4S0164","4S0163",7.6908257,"SAUC"
"135","4S0164F06","4S0164","4S0188",134.5411699,"SAUC"
"136","4S0164F07","4S0164","4S0163",7.6908257,"SAUC"
"137","4S0164F08","4S0164","4S0171",47.1861018,"SAUC"
"138","4S0164F10","4S0164","4S0191",138.6719294,"SAUC"
"139","4S0164F11","4S0164","4S0163",7.6908257,"SAUC"
"140","4S0164F13","4S0164","4S0188",134.5411699,"SAUC"
"141","4S0164F15","4S0164","4S0176",63.4767611,"SAUC"
"142","4S0164F16","4S0164","4S0168",13.3994067,"SAUC"
"143","4S0169F01","4S0169","4S0167",10.6283395,"SAUC"
"144","4S0169F02","4S0169","4S0167",10.6283395,"SAUC"
"145","4S0169F03","4S0169","4S0167",10.6283395,"SAUC"
"146","4S0169F04","4S0169","4S0167",10.6283395,"SAUC"
"147","4S0169F05","4S0169","4S0222",207.9439283,"SAUC"
"148","4S0169F06","4S0169","4S0171",49.7252702,"SAUC"
"149","4S0169F07","4S0169","4S0191",115.5480545,"SAUC"
"150","4S0169F08","4S0169","4S0167",10.6283395,"SAUC"
"151","4S0169F09","4S0169","4S0158",73.071218,"SAUC"
"152","4S0169F10","4S0169","4S0167",10.6283395,"SAUC"
"153","4S0169F11","4S0169","4S0163",27.4855035,"SAUC"
"154","4S0169F12","4S0169","4S0167",10.6283395,"SAUC"
"155","4S0169F14","4S0169","4S0216",187.8914093,"SAUC"
"156","4S0169F15","4S0169","4S0166",18.3774454,"SAUC"
"157","4S0189F01","4S0189","4S0188",5.0842207,"SAUC"
"158","4S0189F02","4S0189","4S0238",191.7078259,"SAUC"
"159","4S0189F03","4S0189","4S0187",3.4329288,"SAUC"
"160","4S0189F04","4S0189","4S0183",48.2127338,"SAUC"
"161","4S0189F07","4S0189","4S0210",72.2711146,"SAUC"
"162","4S0189F08","4S0189","4S0187",3.4329288,"SAUC"
"163","4S0189F09","4S0189","4S0192",28.4383544,"SAUC"
"164","4S0189F11","4S0189","4S0881",39.3711735,"SAUC"
"165","4S0189F12","4S0189","4S0188",5.0842207,"SAUC"
"166","4S0189F13","4S0189","4S0187",3.4329288,"SAUC"
"167","4S0189F14","4S0189","4S0200",49.4930672,"SAUC"
"168","4S0189F15","4S0189","4S0200",49.4930672,"SAUC"
"169","4S0197F01","4S0197","4S0219",100.3724903,"SAUC"
"170","4S0197F03","4S0197","4S0201",23.4050422,"SAUC"
"171","4S0197F04","4S0197","4S0190",22.3312897,"SAUC"
"172","4S0197F05","4S0197","4S0225",120.4217804,"SAUC"
"173","4S0197F07","4S0197","4S0204",26.3561397,"SAUC"
"174","4S0197F08","4S0197","4S0194",11.8601054,"SAUC"
"175","4S0197F09","4S0197","4S0220",103.4887868,"SAUC"
"176","4S0197F10","4S0197","4S0234",216.4230274,"SAUC"
"177","4S0197F11","4S0197","4S0202",31.0396794,"SAUC"
"178","4S0197F12","4S0197","4S0196",14.4360556,"SAUC"
"179","4S0197F13","4S0197","4S0884",35.4749052,"SAUC"
"180","4S0197F14","4S0197","4S0217",94.7074511,"SAUC"
"181","4S0197F15","4S0197","4S0880",70.5626197,"SAUC"
"182","4S0211F01","4S0211","4S0236",187.0265249,"SAUC"
"183","4S0211F02","4S0211","4S0232",164.6046612,"SAUC"
"184","4S0211F03","4S0211","4S0220",54.7882697,"SAUC"
"185","4S0211F04","4S0211","4S0221",57.5796231,"SAUC"
"186","4S0211F05","4S0211","4S0208",27.2153651,"SAUC"
"187","4S0211F06","4S0211","4S0239",143.4808674,"SAUC"
"188","4S0211F08","4S0211","4S0208",27.2153651,"SAUC"
"189","4S0211F09","4S0211","4S0205",27.245618,"SAUC"
"190","4S0211F10","4S0211","4S0208",27.2153651,"SAUC"
"191","4S0211F11","4S0211","4S0220",54.7882697,"SAUC"
"192","4S0211F12","4S0211","4S0190",76.6592486,"SAUC"
"193","4S0211F13","4S0211","4S0884",20.1489752,"SAUC"
"194","4S0211F14","4S0211","4S0216",39.3474078,"SAUC"
"195","4S0211F15","4S0211","4S0208",27.2153651,"SAUC"
"196","4S0229F01","4S0229","4S0228",5.2301147,"SAUC"
"197","4S0229F02","4S0229","4S0226",39.6787626,"SAUC"
"198","4S0229F03","4S0229","4S0228",5.2301147,"SAUC"
"199","4S0229F04","4S0229","4S0228",5.2301147,"SAUC"
"200","4S0229F05","4S0229","4S0228",5.2301147,"SAUC"
"201","4S0229F06","4S0229","4S0228",5.2301147,"SAUC"
"202","4S0229F07","4S0229","4S0228",5.2301147,"SAUC"
"203","4S0229F08","4S0229","4S0229",0,"SAUC"
"204","4S0229F09","4S0229","4S0228",5.2301147,"SAUC"
"205","4S0229F10","4S0229","4S0228",5.2301147,"SAUC"
"206","4S0229F11","4S0229","4S0228",5.2301147,"SAUC"
"207","4S0229F12","4S0229","4S0229",0,"SAUC"
"208","4S0229F13","4S0229","4S0228",5.2301147,"SAUC"
"209","4S0229F14","4S0229","4S0228",5.2301147,"SAUC"
"210","4S0229F15","4S0229","4S0228",5.2301147,"SAUC"
"211","4S0232F01","4S0232","4S0231",19.6119989,"SAUC"
"212","4S0232F02","4S0232","4S0235",20.030961,"SAUC"
"213","4S0232F03","4S0232","4S0194",205.8081546,"SAUC"
"214","4S0232F04","4S0232","4S0235",20.030961,"SAUC"
"215","4S0232F05","4S0232","4S0181",272.7726865,"SAUC"
"216","4S0232F06","4S0232","4S0229",56.9864212,"SAUC"
"217","4S0232F07","4S0232","4S0231",19.6119989,"SAUC"
"218","4S0232F08","4S0232","4S0235",20.030961,"SAUC"
"219","4S0232F10","4S0232","4S0235",20.030961,"SAUC"
"220","4S0232F11","4S0232","4S0235",20.030961,"SAUC"
"221","4S0232F12","4S0232","4S0235",20.030961,"SAUC"
"222","4S0232F13","4S0232","4S0235",20.030961,"SAUC"
"223","4S0232F14","4S0232","4S0229",56.9864212,"SAUC"
"224","4S0232F15","4S0232","4S0229",56.9864212,"SAUC"
"225","4S0238F01","4S0238","4S0235",114.7322701,"SAUC"
"226","4S0238F02","4S0238","4S0206",173.9597025,"SAUC"
"227","4S0238F03","4S0238","4S0227",126.0865992,"SAUC"
"228","4S0238F04","4S0238","4S0224",125.3116439,"SAUC"
"229","4S0238F05","4S0238","4S0238",0,"SAUC"
"230","4S0238F06","4S0238","4S0226",127.9615395,"SAUC"
"231","4S0238F08","4S0238","4S0235",114.7322701,"SAUC"
"232","4S0238F09","4S0238","4S0239",21.6694485,"SAUC"
"233","4S0238F10","4S0238","4S0239",21.6694485,"SAUC"
"234","4S0238F12","4S0238","4S0239",21.6694485,"SAUC"
"235","4S0238F13","4S0238","4S0219",133.6774364,"SAUC"
"236","4S0238F14","4S0238","4S0239",21.6694485,"SAUC"
"237","4S0238F15","4S0238","4S0884",172.7881584,"SAUC"
"238","S0043F01","S0043","S0133",889.8527611,"PL"
"239","S0043F02","S0043","S0062",644.9063413,"PL"
"240","S0043F03","S0043","S0116",1314.481667,"PL"
"241","S0043F04","S0043","S0843",94.8006123,"PL"
"242","S0043F06","S0043","S0139",697.9015243,"PL"
"243","S0043F08","S0043","S0146",654.410584,"PL"
"244","S0043F09","S0043","S0842",29.7183395,"PL"
"245","S0043F11","S0043","S0062",644.9063413,"PL"
"246","S0043F12","S0043","S0148",602.1739297,"PL"
"247","S0073F01","S0073","S0154",218.2248455,"PL"
"248","S0073F02","S0073","S0153",226.4987843,"PL"
"249","S0073F03","S0073","S0073",0,"PL"
"250","S0073F04","S0073","S0083",108.987869,"PL"
"251","S0073F05","S0073","S0066",105.0463312,"PL"
"252","S0073F06","S0073","S0058",168.2038362,"PL"
"253","S0073F07","S0073","S0154",218.2248455,"PL"
"254","S0073F08","S0073","S0857",103.6841704,"PL"
"255","S0073F09","S0073","S0083",108.987869,"PL"
"256","S0073F11","S0073","S0072",5.4984452,"PL"
"257","S0073F12","S0073","S0083",108.987869,"PL"
"258","S0073F13","S0073","S0154",218.2248455,"PL"
"259","S0073F15","S0073","S0143",144.1109465,"PL"
"260","S0075F01","S0075","S0058",229.0435393,"PL"
"261","S0075F02","S0075","S000A",7.9409949,"PL"
"262","S0075F03","S0075","S0074",18.1435967,"PL"
"263","S0075F05","S0075","S000A",7.9409949,"PL"
"264","S0075F06","S0075","S000A",7.9409949,"PL"
"265","S0075F07","S0075","S000A",7.9409949,"PL"
"266","S0075F08","S0075","S0074",18.1435967,"PL"
"267","S0075F09","S0075","S000A",7.9409949,"PL"
"268","S0075F11","S0075","S000A",7.9409949,"PL"
"269","S0075F12","S0075","S0081",46.056714,"PL"
"270","S0075F13","S0075","S0078",22.4800356,"PL"
"271","S0075F14","S0075","S0119",527.8478033,"PL"
"272","S0075F15","S0075","S0074",18.1435967,"PL"
"273","S0079F01","S0079","S0070",124.8981509,"PL"
"274","S0079F02","S0079","S0075",14.0487864,"PL"
"275","S0079F03","S0079","S0865",24.5690578,"PL"
"276","S0079F04","S0079","S000A",6.1180552,"PL"
"277","S0079F05","S0079","S000B",5.0766623,"PL"
"278","S0079F06","S0079","S0865",24.5690578,"PL"
"279","S0079F07","S0079","S0067",145.0652009,"PL"
"280","S0079F08","S0079","S0062",230.3318825,"PL"
"281","S0079F09","S0079","S0041",938.4181946,"PL"
"282","S0079F10","S0079","S0130",319.9834761,"PL"
"283","S0079F11","S0079","S000B",5.0766623,"PL"
"284","S0079F12","S0079","S0865",24.5690578,"PL"
"285","S0079F13","S0079","S0865",24.5690578,"PL"
"286","S0079F14","S0079","S0072",80.5272656,"PL"
"287","S0079F15","S0079","S0865",24.5690578,"PL"
"288","S0088F01","S0088","S0087",10.0406374,"PL"
"289","S0088F02","S0088","S0868",201.5995072,"PL"
"290","S0088F03","S0088","S0096",224.94696,"PL"
"291","S0088F04","S0088","S0157",205.1218028,"PL"
"292","S0088F05","S0088","S0130",129.8059802,"PL"
"293","S0088F07","S0088","S0130",129.8059802,"PL"
"294","S0088F09","S0088","S0133",53.1096046,"PL"
"295","S0088F10","S0088","S0860",259.8099074,"PL"
"296","S0088F11","S0088","S0135",78.9513534,"PL"
"297","S0088F12","S0088","S0049",551.678305,"PL"
"298","S0088F13","S0088","S0087",10.0406374,"PL"
"299","S0088F14","S0088","S0066",335.0345851,"PL"
"300","S0088F15","S0088","S0133",53.1096046,"PL"
"301","S0094F01","S0094","S0091",41.5415021,"PL"
"302","S0094F02","S0094","S0093",7.2829733,"PL"
"303","S0094F04","S0094","S0129",42.8089115,"PL"
"304","S0094F05","S0094","S0093",7.2829733,"PL"
"305","S0094F06","S0094","S0092",24.0793771,"PL"
"306","S0094F08","S0094","S0112",252.6659918,"PL"
"307","S0094F09","S0094","S0041",1114.2045649,"PL"
"308","S0094F10","S0094","S0091",41.5415021,"PL"
"309","S0094F11","S0094","S0093",7.2829733,"PL"
"310","S0094F12","S0094","S0093",7.2829733,"PL"
"311","S0094F13","S0094","S0092",24.0793771,"PL"
"312","S0094F14","S0094","S0090",124.3689294,"PL"
