tree	FamA103A	FamA103B	FamA12A	FamA12B	FamB102A	FamB102B	FamB101A	FamB101B	FamA110A	FamA110B	VicA125A	VicA125B	VicA7A	VicA7B	VicA116A	VicA116B	VicA3A	VicA3B	NedB7A	NedB7B	NedA104A	NedA104B	NedB106A	NedB106B	NedB4A	NedB4B	PetA8A	PetA8B	PetB8A	PetB8B	PetB9A	PetB9B
JV0853	99	119	160	160	193	193	238	246	288	288	99	115	169	169	236	236	282	286	124	124	169	175	212	216	251	299	200	200	239	239	294	294
JV0854	117	117	160	160	193	193	238	238	288	288	99	115	175	175	236	236	282	282	124	128	169	169	216	216	251	299	200	206	239	239	294	294
JV0852	117	119	160	160	193	193	238	238	277	277	115	115	165	175	236	236	282	282	124	124	169	169	216	216	251	265	200	206	239	239	294	294
JV0851	99	115	160	160	193	193	240	246	288	292	99	119	165	169	232	234	286	286	124	124	169	175	216	218	250	299	178	200	235	239	294	294
JV0855	99	117	160	160	193	193	238	238	277	288	99	119	154	169	234	236	282	286	124	124	169	175	216	218	250	265	200	200	239	239	294	294
JV0624	117	119	160	160	193	193	238	238	277	288	99	115	165	171	236	236	282	282	124	124	169	169	214	216	251	299	200	202	239	239	294	294
JV0622	117	117	160	160	193	193	238	240	288	288	99	115	165	169	232	236	282	286	124	128	169	175	216	218	251	299	178	200	235	239	288	294
JV0619	117	119	160	160	193	193	238	240	277	288	99	117	165	175	236	236	282	286	124	128	169	169	216	216	299	299	200	200	239	239	294	294
JV0620	101	119	158	160	193	193	240	240	288	288	99	99	169	175	234	236	286	286	124	124	169	173	212	216	299	299	200	200	239	239	294	294
JV0621	101	117	160	160	193	193	240	240	288	288	99	117	154	169	234	236	282	282	124	124	169	175	212	218	299	299	200	200	239	239	294	294
JV0618	117	117	160	160	188	193	238	238	277	277	99	115	169	175	236	236	282	282	124	128	169	175	216	216	265	299	200	200	239	239	294	294
JV0617	117	117	160	160	188	193	240	240	277	288	115	117	154	175	236	236	282	282	124	124	169	175	212	218	251	265	200	204	239	239	294	294
JV0616	119	119	158	160	193	193	240	246	288	288	99	99	165	175	234	234	286	286	124	124	169	173	216	216	299	299	200	200	239	239	294	294
JV0615	99	117	160	160	193	193	238	246	277	288	115	119	165	169	234	236	282	286	124	124	173	175	216	216	250	251	200	204	239	239	294	294
JV0614	99	117	160	160	193	193	238	240	288	288	99	117	165	169	234	236	286	286	124	124	169	169	212	216	254	299	200	200	239	239	288	294
JV0613	117	117	160	160	193	193	238	238	277	288	115	115	165	169	236	236	282	282	124	128	169	175	216	216	251	265	200	200	239	239	294	294
JV0612	117	119	160	160	193	193	238	238	288	288	115	115	165	165	236	236	282	282	122	124	169	175	216	216	251	265	200	202	239	239	294	294
JV0611	117	117	160	160	193	193	238	238	288	288	99	115	169	175	236	236	282	282	124	128	175	175	216	216	265	299	200	206	239	239	294	294
JV0610	117	119	160	160	188	193	238	240	277	288	115	115	165	169	236	236	282	282	124	124	169	169	216	216	251	265	200	200	239	239	294	294
JV0609	117	117	160	160	193	193	240	246	277	277	99	99	154	169	234	236	282	286	124	128	169	175	216	216	254	299	200	200	239	239	294	294
JV0608	117	119	160	160	193	193	238	240	277	288	99	115	169	169	232	236	282	282	124	124	169	169	212	216	265	297	200	204	239	241	294	294
JV0607	117	119	160	160	193	193	238	240	277	277	115	115	154	169	236	236	282	282	122	124	169	169	216	216	265	265	200	200	239	239	294	294
JV0604	117	119	160	160	193	193	238	238	277	288	99	115	165	165	236	236	282	282	124	128	169	175	216	216	265	299	200	200	239	239	294	294
JV0606	117	117	160	160	193	193	238	240	277	288	115	115	165	165	236	236	282	282	124	124	169	175	216	216	265	265	200	200	239	239	294	294
JV0605	117	119	160	160	193	193	238	238	277	277	115	115	165	165	236	236	282	282	124	124	169	175	216	216	265	265	200	200	239	239	294	294
JV0603	117	119	160	160	193	193	238	238	277	288	115	115	165	169	236	236	282	282	124	124	169	169	212	216	265	265	200	200	239	239	294	294
JV0602	117	119	160	160	193	193	238	238	277	288	99	115	169	169	236	236	282	282	122	124	169	175	216	216	251	299	200	202	239	239	294	294
JV0601	117	117	160	160	193	193	246	246	288	288	99	117	165	169	234	236	286	288	124	124	169	175	214	216	254	299	200	204	239	239	294	294
JV0800	119	119	160	160	193	193	238	238	277	288	115	115	169	169	236	236	282	282	124	124	169	169	216	216	251	265	200	204	239	239	294	294
JV0799	117	117	160	160	193	193	238	238	288	288	99	115	165	169	232	236	282	282	124	124	169	175	212	216	265	297	200	204	239	241	294	294
