4S0206	115	115	160	160	193	193	238	240	277	292	117	117	169	169	234	236	286	286	110	128	173	179	212	216	297	297	200	208	239	239	294	294	266783.24	4046642.91
4S0206bis	115	115	160	160	193	193	238	240	277	288	99	117	165	169	234	236	282	282	122	124	169	169	216	216	254	299	178	178	239	239	294	305	266783.24	4046642.91
4S0208	102	110	160	160	193	193	238	240	277	292	99	117	169	169	234	236	282	282	128	128	169	169	216	216	265	297	178	208	239	239	294	294	266783.77	4046642.31
4S0204	102	115	160	160	193	193	238	240	277	288	99	117	169	169	234	236	286	286	110	124	173	173	216	216	297	297	200	202	239	239	294	294	266786.02	4046641.51
4S0205	115	115	160	160	193	193	238	240	277	288	99	119	165	171	234	234	282	282	124	126	169	169	214	216	250	269	200	200	239	241	294	294	266788.31	4046644.01
4S0201	115	115	160	160	193	193	238	240	277	277	99	117	169	171	234	234	282	286	122	124	173	173	212	230	250	297	200	202	239	239	294	294	266791.73	4046640.75
4S0200	115	119	160	160	193	193	238	240	277	292	99	117	169	173	234	234	282	286	124	128	169	173	214	216	297	299	200	202	239	239	288	294	266792.34	4046638.02
4S0199	102	115	160	160	193	193	238	240	277	288	99	117	169	173	232	236	286	286	110	124	173	179	212	216	297	297	200	208	239	241	294	294	266792.05	4046637.86
4S0198	102	115	160	160	193	193	240	240	277	277	117	119	154	173	234	234	282	286	122	128	169	173	216	230	267	299	200	202	239	241	294	294	266795.04	4046632.08
4S0196	115	115	160	160	193	193	238	242	292	292	117	119	165	169	-1	-1	282	286	128	128	169	169	214	216	251	299	200	202	241	243	294	294	266792.25	4046631.32
4S0881	117	117	160	160	193	193	238	238	277	292	119	119	169	169	236	236	286	286	124	128	169	169	216	216	267	299	200	200	239	241	294	294	266793.01	4046627.03
4S0195	117	121	160	160	193	193	238	244	277	288	99	117	169	169	234	236	286	286	122	128	169	169	216	230	250	299	200	200	239	239	294	294	266787.32	4046626.42
4S0194	110	115	160	160	193	193	238	240	277	288	99	99	169	169	232	236	282	282	124	128	169	169	216	216	254	297	200	208	239	241	294	305	266788.1	4046623.71
4S0197	102	115	160	160	193	193	238	242	277	277	99	117	169	169	234	236	282	286	128	128	169	173	214	230	250	299	200	202	239	239	288	294	266798.71	4046618.41
4S0193	110	115	160	160	193	193	238	242	277	292	99	119	165	165	234	234	282	282	128	128	169	173	212	214	267	299	178	200	239	241	294	305	266791.13	4046615.83
4S0192	102	115	160	160	193	193	240	240	292	294	117	119	165	173	234	234	282	282	128	128	169	173	212	216	267	297	200	202	239	241	294	294	266792.98	4046613.51
4S0191	110	115	160	160	193	193	238	240	288	292	99	99	165	169	232	234	286	286	126	128	169	173	212	216	250	250	200	200	239	241	294	294	266812.54	4046604.56
4S0190	110	115	160	160	193	193	238	240	277	277	99	117	165	165	232	234	282	282	128	128	169	169	216	216	254	299	178	178	239	241	294	305	266812.67	4046600.98
4S0188	102	115	160	160	193	193	238	238	277	288	117	117	165	171	234	234	282	286	122	126	169	169	216	216	297	297	200	202	239	239	294	294	266812.86	4046597.88
4S0187	115	117	160	160	193	193	238	240	277	277	99	117	169	169	234	234	282	286	122	126	169	173	212	216	251	297	178	200	239	243	288	294	266810.25	4046595.42
4S0186	102	106	160	160	193	193	240	240	277	277	117	117	169	171	234	234	282	284	110	124	169	179	212	216	297	297	200	202	239	239	294	294	266807.87	4046595.21
4S0184	115	115	160	160	193	193	238	238	288	288	99	117	169	169	234	234	282	282	128	128	169	179	212	216	297	297	202	202	239	239	294	294	266806.63	4046588.24
4S0189	110	115	160	160	193	193	240	244	277	288	99	99	169	169	232	232	286	286	124	126	169	169	216	216	250	254	200	200	241	241	294	294	266812.48	4046592.81
4S0182	102	110	160	160	193	193	238	240	277	288	99	117	169	169	234	234	282	286	128	128	169	169	214	216	250	297	202	208	239	239	294	294	266782.42	4046566.66
4S0185	102	115	160	160	193	193	238	240	277	288	99	117	165	165	234	234	282	286	122	126	169	173	218	230	251	297	178	200	239	243	288	294	266807.31	4046587.89
4S0183	102	115	160	160	193	193	238	240	277	277	99	117	165	169	232	232	282	282	122	124	169	173	212	230	251	297	178	200	241	243	288	294	266774.07	4046563.67
4S0181	102	117	160	160	193	193	240	240	288	288	99	119	165	171	234	234	282	286	128	128	169	185	216	216	250	267	200	208	239	241	294	294	266761.64	4046560.67
