S0038	101	115	160	160	193	193	240	240	288	288	99	115	169	169	232	236	282	286	128	128	169	179	216	216	250	265	177	200	239	241	294	294	268108.53	4045144.81
S0039	115	117	160	160	193	193	240	240	277	288	99	99	154	154	232	234	282	282	124	128	169	169	218	218	251	273	177	200	235	239	294	294	268102.75	4045119.98
S0040	117	117	160	160	193	193	238	242	277	277	99	101	154	169	232	234	286	286	128	128	169	169	216	216	299	299	177	200	239	241	294	294	268111.23	4045062.26
S0041	117	117	160	160	193	193	238	242	288	288	99	117	154	169	234	236	286	286	128	128	169	169	218	218	273	297	200	200	239	239	294	294	268075.03	4044998.71
S0042	117	119	160	160	193	193	240	240	288	288	99	99	154	165	234	234	282	286	124	126	169	169	208	216	250	299	200	200	239	239	294	294	268041.81	4044946.04
S0043	101	115	160	160	193	193	238	238	288	290	99	99	169	169	232	236	288	288	122	128	169	169	216	216	250	265	192	199	239	241	288	296	268026.74	4044906.07
S0044	101	115	160	160	193	193	238	238	288	288	99	99	169	169	232	236	286	288	122	124	169	169	216	216	250	265	192	199	239	241	288	296	268002.59	4044901.43
S0842	101	115	160	160	193	193	240	240	277	277	99	115	154	169	234	234	282	282	124	128	169	179	216	216	273	273	177	200	239	239	294	294	267997.28	4044902.16
S0843	101	115	160	160	193	193	240	240	288	288	99	119	169	175	232	236	286	286	126	128	169	173	218	218	254	297	200	200	239	241	294	294	267942.05	4044863.47
S0045	101	117	158	160	193	195	240	240	277	288	111	111	154	169	234	234	282	288	110	124	169	179	208	216	250	250	178	200	239	239	294	294	267913.85	4044854.07
S0046	102	117	160	160	193	193	240	242	277	277	99	117	165	169	234	236	286	286	128	128	169	169	218	218	251	273	200	200	239	239	294	294	267910.77	4044843.02
S0844	115	119	160	160	193	195	240	240	288	290	111	115	169	169	234	236	286	286	128	128	169	179	216	216	250	265	177	200	239	239	294	294	267904	4044851.78
S0846	115	115	158	158	193	193	240	240	288	288	99	111	154	175	232	234	282	288	124	124	169	169	212	218	250	250	200	200	239	241	294	294	267897.99	4044851.59
S0848	119	119	160	160	193	193	240	240	277	288	99	111	154	169	234	234	286	288	124	124	179	179	216	218	250	265	200	200	239	239	294	294	267897.2	4044864.86
S0847	101	115	158	160	193	193	240	240	288	288	99	117	154	169	228	232	282	288	128	128	179	179	208	216	250	265	200	200	239	241	294	294	267894.29	4044862.45
S0047	113	119	158	160	193	193	238	240	288	292	99	111	154	165	232	234	282	288	124	128	169	179	216	216	250	250	199	200	239	241	288	294	267904.79	4044780.75
S0048	115	115	160	160	193	193	238	240	288	288	117	117	165	165	236	236	286	288	126	128	169	179	214	216	254	265	177	200	239	239	294	294	267859.82	4044707.26
S0049	115	115	160	160	193	193	238	240	288	288	99	117	165	169	234	236	286	288	128	128	169	179	216	218	254	273	178	200	239	239	294	294	267728.96	4044593.75
S0050	101	115	160	160	193	193	240	240	288	288	99	117	165	169	232	236	286	288	124	128	179	179	216	216	250	254	178	200	239	241	294	294	267707.2	4044586.15
S0051	117	117	160	160	193	193	240	246	288	288	101	115	154	169	234	236	286	288	124	124	169	173	216	216	254	273	178	200	239	239	294	294	267710.7	4044580.57
S0052	102	117	160	160	193	193	238	240	277	288	101	115	165	169	232	234	286	286	124	128	169	173	216	216	299	299	199	200	239	241	288	294	267596.29	4044540.71
