tree	S0038	S0039	S0040	S0041	S0042	S0043	S0044	S0842	S0843	S0045	S0046	S0844	S0846	S0848	S0847	S0047	S0048	S0049	S0050	S0051	S0052	S0849	S0054	S0056	S0055	S0053	S0060	S0059	S0058	S0057	S0062	S0061	S0063	S0064	S0066	S0065	S0857	S0858	S0856	S0067	S0859	S0068	S0069	S0070	S0860	S0071	S0072	S0073	S0074	S0075	S0077	S000A	S000B	S0079	S0076	S0078	S0865	S0081	S0082	S0083	S0084	S0864	S0085	S0148	S0147	S0146	S0145	S0144	S0143	S0149	S0141	S0142	S0140	S0139	S0137	S0136	S0138	S0135	S0087	S0088	S0133	S0089	S0090	S0132	S0131	S0130	S0091	S0092	S0867	S0866	S0868	S0095	S0094	S0093	S0129	S0128	S0127	S0096	S0097	S0098	S0099	S0100	S0101	S0126	S0102	S0103	S0105	S0104	S0125	S0106	S0107	S0124	S0123	S0876	S0108	S0109	S0110	S0122	S0111	S0869	S0119	S0112	S0113	S0114	S0871	S0121	S0870	S0120	S0875	S0116	S0115	S0872	S0873	S0874	S0118	S0117	S0155	S0154	S0153	S0152	S0151	S0150	S0156	S0157
S0053	0.00142083615403459	0.00136389412478789	0.00190377439391985	0.00194366914244869	0.0015847869166304	0.0012874010993792	0.000440503590643887	0.00117496026907363	0.00153134310441162	0.000686508286652263	0.000848285954178719	0.000596196646110287	0.00066518154600114	0.000632444662069583	0.000628573573331357	0.00297910684264671	0.00592962558869263	0.00886399356861517	0.00528217341266935	0.00523019649226464	0.0288614999351728	0.0341382318948298	0.0333446216635359	0.0219236188870615	0.0423467663431822	0.0256477	0.00320469319475666	0.00306175720592987	0.00581914291062627	0.00297341087439571	0.00825944610008642	0.00789111574337382	0.00504857884748235	0.00566025468964921	0.00199545061901111	0.00175373155582706	0.00267832652930703	0.00224260619665319	0.00126244676529087	0.00323076942077181	0.00173890386381826	0.00173113236836222	0.0014562814805385	0.00178712147566525	0.00253810997347302	0.00189689631103148	0.00232407420089808	0.00231318031793434	0.00168782094927695	0.000848514433361889	0.000837948440687498	0.000600544536500189	0.00036216992626387	0.000607018408818749	0.000827225830435249	0.000819297178978576	0.000970564439167443	0.000298035862697983	0.000287403509392296	0.000670859567270958	0.000558270501903851	0.000998237639959722	0.00137778780685915	0.00898730858796892	0.0040849440975332	0.00257805759007933	0.00259226781215192	0.00281899982618243	0.0034569294053056	0.00235392340781622	0.00207947878031117	0.00199542621089694	0.00233581569863961	0.001819720008078	0.000955378824082442	0.000924756481694261	0.0014155540487928	0.00204834506756685	0.00125173851223068	0.00107352124719533	0.000985019044906802	0.000611577306605825	0.000729749777942115	0.000535721193492574	0.0003200807960769	0.000793144700079449	0.000524813291553844	0.000326549867898415	0.000210901547228468	0.000202017046704966	0.000412997452099455	0.000241668265761606	0.000213489209145311	0.000447034025390795	0.000197581940767973	0.000259494519935649	0.000192224500049373	0.000257509018601485	0.000270708447339943	0.00026841304993271	0.000271259076100361	0.000272533651994306	0.000273394203950489	0.000256540284492491	0.000239533196890257	0.000244891249664493	0.000237227480116168	0.000171528825044217	8.45714633107402e-05	9.88415144231251e-05	7.78610432825854e-05	4.27130340605356e-05	4.82352063709577e-05	0.000141722127008296	0.00025612620307898	0.000115911740420675	8.58382804989516e-05	0.000101851474048412	1.95585740539563e-05	6.75443134819607e-05	4.48637296704914e-05	4.84162122479761e-05	8.59430527596015e-05	8.99500312325616e-05	8.99739683692872e-05	4.20975348293081e-05	4.59380521982618e-05	7.80354994508693e-05	6.00373481790098e-05	7.3263028781558e-05	8.5159730858421e-05	5.62202366423523e-05	9.12229265760916e-05	4.53333515924598e-05	9.72816776052791e-05	0.000110469930277665	0.00124925802047751	0.0021966765959378	0.00139681512883669	0.00131525795723718	0.00228144794560563	0.00189798677594875	0.0012983180256854	0.00222968246163869
S0060	0.00136935735485959	0.00131118260976972	0.00181464678944032	0.00183952178929229	0.00148915676176413	0.00120055947113494	0.000411265275680084	0.00109778607919305	0.00142496519968492	0.000639672361464876	0.00078782776691686	0.000556054713733042	0.000621050537853856	0.000593231746548211	0.000589471353367706	0.00270188882095968	0.00519595421636476	0.00685040685351854	0.00399673735971159	0.00391015277424239	0.0171274823762743	0.0185237346629769	0.0191758407389392	0.0209810748440093	0.0270629470831885	0.0207068524084042	0.0256477	0.400852313371892	0.0916950269497523	0.0368615628263954	0.0495762801964647	0.0275998800831496	0.0186971065168525	0.0173613545858357	0.00437766612958671	0.00383918477444966	0.00572534987737503	0.00456361164790027	0.00257568971483889	0.0057581442243176	0.00296575080748688	0.0029116366694548	0.00241061760569661	0.00294712513762976	0.00395272036993157	0.0029201972469867	0.00346113345157335	0.00341236811307316	0.00233214064664237	0.00114577050502945	0.00112560719265104	0.000803794276370514	0.000484152721120804	0.000807103164716211	0.00108879276678555	0.00108481913513765	0.00125857425760061	0.000385610899224276	0.000371658704083377	0.000866006087058908	0.000717914617475353	0.00126433114106913	0.00171846335879801	0.017204129211411	0.00751324684557963	0.00449299649201877	0.00442337790100229	0.00466745275532219	0.00528945367459723	0.00348421994338164	0.00292224176376282	0.00278547715621208	0.00319762913441808	0.00245848678541149	0.00124296077309804	0.001202762241068	0.00183311637922462	0.00263378433306244	0.0015613217679335	0.00133334110407386	0.00120367952499841	0.000746981424954319	0.000888133047184895	0.000644784247031411	0.000383849954477516	0.000950332476609781	0.000628753117389047	0.000387783162882742	0.000250052908294386	0.000239473624908524	0.00048804991754848	0.000285637601842143	0.000252951133066625	0.000530116036958697	0.000232725104508711	0.000305395164735896	0.000226244436185107	0.000303448199794898	0.00031880879639761	0.000315794373177713	0.000319045761176125	0.000320030039682026	0.000320996823467458	0.000296529074245666	0.000276960250215628	0.000282960748817328	0.00027318926033205	0.000197227811891294	9.69784386159055e-05	0.00011326947615064	8.91452690588846e-05	4.8896042049239e-05	5.52036158937835e-05	0.000161658715190347	0.000291161317276498	0.000131281979856252	9.71391006828362e-05	0.000115071905503535	2.2072715113851e-05	7.62174792967066e-05	5.05934177035472e-05	5.45878028018644e-05	9.68851612371061e-05	0.00010125914917877	0.00010121408402277	4.74062324358566e-05	5.17320443645759e-05	8.78567747611597e-05	6.75413355670585e-05	8.2373991474716e-05	9.56936933418058e-05	6.31039416612814e-05	0.000102356606525492	5.08677467263296e-05	0.000109137923789853	0.00012387891264814	0.00167586372959953	0.00293775252356873	0.00183604873680239	0.00172824763478707	0.00297576475766004	0.00246686085382324	0.00153720952152066	0.00259758813724564
S0059	0.00126977001309328	0.00121582457577669	0.00168264744134421	0.0017057156571821	0.00138083768039374	0.0011132240238361	0.000381353102625431	0.00101794616717395	0.00132136352008875	0.000593178312119377	0.000730562483260587	0.000515643036662442	0.000575918981590642	0.000550126388375637	0.000546640281317144	0.00250538544079494	0.00481787446057551	0.00635122840383841	0.00370552298716137	0.00362508062756327	0.0158770649724215	0.0171616461004564	0.0177547882957504	0.0193972810177875	0.0250042833459562	0.0191374497845942	0.387766315388553	0.0256477	0.0879389728769943	0.0351206212281007	0.0462617642507892	0.0257852729997248	0.0174286472185044	0.0161295957087509	0.00406578574201776	0.00356569664890952	0.0053179721895085	0.00423797584308565	0.00239200256642266	0.0053447627340831	0.00275251799021906	0.00270219942025718	0.00223711910401696	0.00273503181413766	0.00366781856530599	0.0027093975859768	0.00321027508989964	0.0031650189147729	0.00216289244987906	0.0010625533514636	0.00104381052834713	0.0007454022667446	0.000448979625117122	0.000748460282196033	0.00100961943348222	0.00100602143505512	0.00116705012123514	0.000357583148730781	0.000344645236659548	0.000803052551618452	0.000665731689534176	0.00117238358087296	0.00159339410599181	0.0160083789472396	0.00698138031784531	0.00417400898354978	0.00410890443466797	0.00433538471904769	0.00491165064127678	0.00323483126348792	0.00271252189590117	0.00258552103175878	0.00296775680658791	0.00228165540334091	0.00115336418858725	0.00111606043970708	0.00170094933832021	0.00244368958300237	0.00144842352865714	0.00123690833611829	0.00111652997826916	0.000692887809194908	0.000823785406796433	0.000598063002777005	0.000356028243119914	0.000881437906381115	0.000583132790530426	0.000359640373341593	0.000231904745670239	0.000222093000376702	0.000452630463347001	0.000264904579532252	0.000234587753821188	0.000491629883028907	0.000215832780711589	0.000283227616218085	0.000209821850291521	0.000281417090437048	0.000295661727445378	0.000292864625679108	0.00029588013058987	0.000296789354576661	0.000297685649409917	0.000274978155502379	0.000256830715347773	0.000262393744254779	0.00025332818927634	0.000182890132873037	8.99282939444027e-05	0.000105034352958206	8.26638062113225e-05	4.53412094068113e-05	5.1190200564345e-05	0.000149904254055987	0.000269980414713883	0.000121732497881241	9.00730909039653e-05	0.000106700954442119	2.04670483482503e-05	7.06730617596443e-05	4.69128956748729e-05	5.06167598132714e-05	8.98375894696901e-05	9.38931205160971e-05	9.38511377915497e-05	4.39572837224577e-05	4.7968396534286e-05	8.14649800949497e-05	6.2627479243921e-05	7.63809811176866e-05	8.87317017017652e-05	5.85129413459902e-05	9.49098023704546e-05	4.71669136389086e-05	0.000101197108920857	0.000114865296890526	0.00155571098608035	0.00272707336318294	0.00170409127564182	0.00160403738147907	0.0027617215045187	0.00228936083808174	0.00142593913733969	0.00240956963264867
S0058	0.00845810538973456	0.00809805922381357	0.0112016937347927	0.0113534855785657	0.00918952781959968	0.00740604199757143	0.00253781062147089	0.00677483513523817	0.00879724109315969	0.00395090906520037	0.00486521517895205	0.00343512564728089	0.00383722714799458	0.00366638824109627	0.00364325704628431	0.0166610247012114	0.031987271528975	0.0419380706566361	0.0244544427283397	0.0238981185844982	0.103348616401101	0.109309275091628	0.110878732772381	0.115834629498603	0.148378010909746	0.116134969341141	0.283218839684836	0.280783808124855	0.0256477	0.598693368822617	0.374423301958599	0.205569134827333	0.135876768279969	0.115332068667751	0.0286104285646866	0.0250943124506995	0.0374728564893153	0.0296793864720642	0.0167681702958887	0.0369175201735366	0.0189430159193171	0.0185759677599648	0.0153578215657769	0.0187768200978576	0.0250796041827184	0.0184753956238952	0.0217293420056077	0.0214145571951293	0.0145830808450834	0.00715101388976662	0.00701788832442853	0.00501379003792189	0.00301965772177748	0.00503211925199085	0.00677757508704896	0.00676638438282491	0.00783103219987237	0.00240123631099759	0.00231435223811348	0.00539115372163843	0.00446959241089546	0.00786185180195315	0.0106682341092913	0.115778935614184	0.0493374319121214	0.0293136309015436	0.0287769402551453	0.0302980933373804	0.0340372040300476	0.0223239133902115	0.0186163200511254	0.0177343652632884	0.0203011964154441	0.0155893914408218	0.0078464450174184	0.00759222764843777	0.0115662635717225	0.0165873989977557	0.00979616083493139	0.00836208323666832	0.00753263602159582	0.00467314734905072	0.00555120716929577	0.00402834435760888	0.00239682979474076	0.00593201048875042	0.00391932269312698	0.00241580658636033	0.00155758404071323	0.00149163991633934	0.00304008165319621	0.00177879531103404	0.00157493481826829	0.0033004836248815	0.00144916591212072	0.00190157257803854	0.00140869323509093	0.00188883351123529	0.00198431385330553	0.00196528999843218	0.00198553709351218	0.00199108590467419	0.00199705512890672	0.00184181706931277	0.0017201694019766	0.00175722087260153	0.00169580323718504	0.00122436185401662	0.000601961094979605	0.000702981074274904	0.000553211249320192	0.000303467598049876	0.000342611272840105	0.00100301117071678	0.00180496203578418	0.00081387854836345	0.000602186354378416	0.000713260000232718	0.000136814506359862	0.000472418572411161	0.000313571915388179	0.000338334996914648	0.000600551864344128	0.000627603485123391	0.000627286371729513	0.000293768633720338	0.000320577470992689	0.000544438711414725	0.00041853020685566	0.000510432137542023	0.000592970016196681	0.000391014769043189	0.000634225468522866	0.00031518521251781	0.000676152377143593	0.000767435297448511	0.010676366409537	0.0187064672999189	0.0116469208512491	0.0109629052389134	0.018848919959966	0.0156155055354234	0.00961566135995761	0.0162425876795681
S0057	0.00139386668222797	0.00133460811587432	0.00184613158015342	0.00187159716546477	0.00151523066705524	0.00122128962040137	0.000418579613836357	0.00111747413084848	0.00145183053975922	0.000652236431243	0.000803208087713386	0.000567155693684246	0.000633591070880182	0.000605378338303064	0.000601582019351187	0.00275064421781506	0.00528309270130125	0.00693985509051867	0.00404977807738188	0.00395583133264613	0.0172416123258376	0.0182422219326856	0.01845302618151	0.0191139775862881	0.0242761352836794	0.018869579413563	0.036203737647053	0.0356579333270098	0.190374053063702	0.0256477	0.0583543150369537	0.0372709109755658	0.0226478914718387	0.0185226956676593	0.00467625903549369	0.00410255494984412	0.00614274547344935	0.00486184805864279	0.00274823209831671	0.00604348496828116	0.0031016484282206	0.00304176431923827	0.00251481499865894	0.00307546982187487	0.00411001858075003	0.0030238288216399	0.00354478290929696	0.00349423551954643	0.002381889120891	0.00116787193493027	0.00114564992766914	0.000818877153035566	0.000493180773880157	0.000821888401444784	0.00110636286153312	0.00110566394725935	0.0012788721617174	0.000392388661252906	0.000378200153548342	0.000880903726574262	0.000730494809437996	0.00128480590084689	0.00174280661672264	0.0198168550016608	0.00820737290688383	0.00487080963153035	0.00477789167401009	0.00503291564312473	0.00564494753257637	0.00369740036650531	0.00307934677525322	0.00293327417200996	0.00335426391198497	0.0025753137238209	0.00129450840608177	0.00125253000099215	0.00190798700120179	0.00273343940528619	0.0016123906524838	0.00137621163223719	0.00123877228763695	0.000768357206251212	0.000912290616951995	0.000662182490853849	0.000393907889295729	0.000974694792786523	0.000643346915990865	0.000396554432971581	0.000255674706057007	0.000244847003345221	0.00049910812122267	0.000291978754753067	0.0002584481636758	0.000541571875019958	0.000237898977509335	0.000312167706883725	0.0002312495268903	0.000309983267473286	0.000325646997873269	0.000322509777254935	0.000325838809275209	0.000326707211426278	0.000327683482735358	0.000302088989015454	0.000282120461589435	0.000288181370911696	0.000278068025555079	0.000200788574827859	9.87234168922918e-05	0.000115282695765833	9.07200782170752e-05	4.97692077929228e-05	5.61891093901548e-05	0.000164488191092054	0.000295871274145392	0.00013343975551909	9.87327907628461e-05	0.000116942084943827	2.24324486373226e-05	7.74588705641891e-05	5.14130367787703e-05	5.54744927890497e-05	9.84758420775464e-05	0.000102911460110832	0.00010285852915171	4.81635986193108e-05	5.25591720747485e-05	8.92626454566844e-05	6.86201590914528e-05	8.36889084805376e-05	9.72245496584352e-05	6.41136393859638e-05	0.000103992461218428	5.16797268607501e-05	0.000110857195460981	0.00012582087617365	0.00177156967642756	0.00310335334821926	0.00192798261192662	0.00181476822005577	0.00311781779509764	0.00258217122805657	0.00158346810755445	0.00267631577413081
S0062	0.0149651357631395	0.0143165131670181	0.0197621222810525	0.0199782246978869	0.0161286570181892	0.0129697959626327	0.00444216900080167	0.0118586258262742	0.0153521005875894	0.00688820489121003	0.00847426693443067	0.00598747278388104	0.00668804526432077	0.0063975197423173	0.00635584822359037	0.028856904857986	0.0548691696316266	0.0693501804593821	0.0401021272726349	0.0391777446159842	0.151657937974739	0.147881893079798	0.14297576055365	0.136757601082154	0.182810599574701	0.162462703296369	0.150920786519073	0.145583322838257	0.369029966961088	0.180870788910119	0.0256477	0.300653428125512	0.421250080593756	0.351521090863736	0.0681664070587168	0.0596874055278132	0.0874340156359576	0.0678348364460727	0.0383123595092497	0.0800058784140037	0.0403543909602374	0.0393637635409625	0.0323575924463032	0.0394795947417284	0.0516206923262548	0.0380157933237826	0.0445863246586889	0.0437842663142745	0.0291513919928733	0.0142008645679126	0.0139289842184141	0.00992950579228191	0.00597825835507718	0.0099461116066414	0.0133742733804207	0.0133423772958501	0.0153718771631937	0.00470324204614409	0.00453210922613526	0.0105547869097027	0.00873594457133122	0.0153040155357773	0.0206972045445657	0.202582579785325	0.101978165897985	0.0596682058280899	0.0583255725514667	0.0606145106328377	0.0667506206168265	0.043553792115718	0.0359217239252621	0.034158916768056	0.03903448259833	0.029876914171875	0.0149460417089045	0.0144621503302652	0.0220114639601571	0.0316203944559477	0.0185916888028649	0.0158566933059591	0.014255697426161	0.00884893773947327	0.0105176197917719	0.00760342784928894	0.00452269897399438	0.0111982678015816	0.00742167474600739	0.00456358719228164	0.00294120883509336	0.00281665248248886	0.00573259928982714	0.00335639550691289	0.00297607318539702	0.00623958249028793	0.00273095894773218	0.00358271363085949	0.00265434796272123	0.00356321677100794	0.00374294148496685	0.00370662354633863	0.00374428337691548	0.0037546269968311	0.00376585891421808	0.00346309189152406	0.00323519415904051	0.00330482586135872	0.0031879289909893	0.00229990215390779	0.00112977939958827	0.00131944137332605	0.00103814704294128	0.000569319224922387	0.000642703041369036	0.00188020432459913	0.00338500913591751	0.00152394713961087	0.00112728277434831	0.00133471704395527	0.000255908773304977	0.000883623844630476	0.000586452768750587	0.000632685740818101	0.00112273984978916	0.00117289411106581	0.00117211925744332	0.000549299477658383	0.000599422338968259	0.00101790370752761	0.000782323314096872	0.000953938578783278	0.00110792386477786	0.000730304897120549	0.00118444013297972	0.00058864012928112	0.00126302612596872	0.00143345939628441	0.0200482257671008	0.0351291885711015	0.0219637098651668	0.0206710346801314	0.0355740841476912	0.0294779988534008	0.0179618399202453	0.0301498904756582
S0061	0.00136352102449501	0.00130594457722264	0.00180517240736087	0.00183300833437105	0.00148628324936908	0.00119826463006522	0.000411525350175161	0.00109921118268792	0.00143480184327712	0.000646654118289238	0.000796370245926293	0.000563000650208447	0.000629463136120501	0.000601692482321623	0.000598124632194993	0.00272064662171327	0.00522589578466209	0.00688090327085805	0.00403059091659085	0.00391577443922335	0.0171040068401473	0.0165947606816087	0.0153795658865282	0.0132336156135285	0.0166236628009072	0.0138048007552694	0.00747259241311077	0.00721689102827378	0.0180196209375546	0.010274352044018	0.0267396142339402	0.0256477	0.0214722528494853	0.0139704788032076	0.00436537311023714	0.00384009418383117	0.00592517169764621	0.00466522402861136	0.00265134220189584	0.00576326146497097	0.00296156163806193	0.00290541544337444	0.00240099506041825	0.00294402349321827	0.00394748334450824	0.00286341933985931	0.00323868113258771	0.0031985763755379	0.0021945560260462	0.00107331745546655	0.00104800614023651	0.000752592294764008	0.000453178476158329	0.000755197349824522	0.00101018426609658	0.00102059651750729	0.00117162528159249	0.000361755171610145	0.00034874966274984	0.000811335535379438	0.00067425406720927	0.00118358674783363	0.00159784976183064	0.0326820129245758	0.00937067167575837	0.00547632234338654	0.00531832275560647	0.00562364476004124	0.0061607290900898	0.00396636947492228	0.00324378138955145	0.0030860503425148	0.00348360069595733	0.00266674881524118	0.00131787500428998	0.0012747076911609	0.00193933150047347	0.00274685393519837	0.00159635507857175	0.00136062145016997	0.00121365032360147	0.000751136796737128	0.000887222167339557	0.000644969505487232	0.000382707676795801	0.000944897592451796	0.000617383608414037	0.000380326244278567	0.000245153956199504	0.00023473795824549	0.000479254959762931	0.000279818339503288	0.000247073709387966	0.000517382430744858	0.000228186272721789	0.00029940582965875	0.000221742105406073	0.000296438207851837	0.000311344394241498	0.000308171965132605	0.000311407272406323	0.000311786389290052	0.000312683637610062	0.000286700682158444	0.000267600652012329	0.000273182250709759	0.000263128916296	0.000190213646051265	9.35514405915943e-05	0.000109157916328616	8.5877510748236e-05	4.71513846656349e-05	5.32350557960445e-05	0.000155718494782836	0.000278755848746401	0.000125946635407781	9.31924439940472e-05	0.000110345223747613	2.11755798699639e-05	7.31175930810237e-05	4.85198677989487e-05	5.23643297276067e-05	9.30243738968578e-05	9.72008928107998e-05	9.71361143025243e-05	4.54239481029507e-05	4.9571883977252e-05	8.4197752873083e-05	6.47285152390429e-05	7.8948003828043e-05	9.17405189091011e-05	6.05111666317739e-05	9.81483641745524e-05	4.87712926659721e-05	0.000104531782367865	0.000118614165211605	0.00192160616325626	0.00335732581947109	0.00203490167102342	0.0019155086058543	0.00326241046838843	0.00269224496924201	0.0015684541719544	0.00266263975658001
S0063	0.0011773994471847	0.00112579716616453	0.00155056048340711	0.00156560173078132	0.00126233435220248	0.00101335664192018	0.000347358142967799	0.000927581144567756	0.0012011017988055	0.000539498541867928	0.000663205747914034	0.00046919555270235	0.000524326993597691	0.000502165463145926	0.000498907241479041	0.00224436866977401	0.0042331981499928	0.00520058213866515	0.00299352687869472	0.00291566319859079	0.0104575475672161	0.00945547234124127	0.00869938279212867	0.00762510774266101	0.0102172260315893	0.00960663745319384	0.00550616257287824	0.0053058213316836	0.0129551808544842	0.0067908281167021	0.0407511156211574	0.0233554447035021	0.0256477	0.0340520051785912	0.00726378717737625	0.00636683414206081	0.00941237254130476	0.00700772980989965	0.00398249254480578	0.00760478674692222	0.00375816119711392	0.00364346489099451	0.00297299047022101	0.00362735376644061	0.00464060319985004	0.00337429325971542	0.00382339821209861	0.00374754340334165	0.002454008055424	0.00118553088425195	0.00115787340041215	0.000826830875028994	0.00049758314056291	0.000826539147428035	0.00110415690228774	0.00111035642932306	0.00126633453830682	0.000388594029195039	0.000374444870705932	0.000871036346637138	0.000721033513062546	0.00125656926052763	0.00168802996582024	0.0196382052594963	0.010689143839574	0.00603045045447013	0.00581156861603148	0.00594625880037165	0.00626829550101423	0.00401419450267125	0.00322652481174531	0.00305934480635993	0.00345766102858158	0.00263166341055488	0.00129261554999566	0.00125050239580787	0.00189976837947595	0.00271210967610445	0.00157109468763741	0.00133756344300045	0.00119260906377654	0.000739550153275023	0.000876284602252893	0.000631892363171158	0.000375108066830559	0.000927722750796033	0.000612241630973751	0.000375472919899335	0.000241863145206521	0.000231594585741149	0.000471271458862248	0.000275712913476832	0.000244374512173695	0.000512317005778916	0.000224209871086296	0.000294065863370236	0.000217849056614582	0.000292202358027659	0.000306860469791246	0.000303730788865865	0.000306814815120699	0.000307341537686298	0.000308235294157797	0.000281639627135469	0.000263064040969583	0.000268606953594445	0.000258683939816518	0.000186642852202309	9.16326536863878e-05	0.000106961881407847	8.41293298527576e-05	4.61511944913988e-05	5.20972320024211e-05	0.000152228806500474	0.000273255642741969	0.000123004431782137	9.09704825565133e-05	0.000107651510119809	2.06382144148734e-05	7.1258685236185e-05	4.72815471839658e-05	5.10111259211316e-05	9.05486524430621e-05	9.45546470827752e-05	9.44692794260519e-05	4.42580337068228e-05	4.82977629931271e-05	8.20151384507371e-05	6.30225930314705e-05	7.68392152131234e-05	8.92395640266718e-05	5.88131854978581e-05	9.53771439231795e-05	4.73988926224004e-05	0.000101661225850892	0.000115355295099946	0.00178163954913861	0.00311678069561981	0.00192630095295997	0.0018127327202936	0.00310477499946271	0.00256714903204148	0.00149535172517393	0.00250254214891642
